ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
1,Acer Aspire 7 PRO A715-59G-516G,13499000,"13th Generation Intel Core i5-13420H Processor (12M Cache, up to 4.60 GHz)",16,512,6.5,80,90,80,80,83.0
2,Acer Aspire 7 PRO A715-59G-516S,13499000,"13th Generation Intel Core i5-13420H Up To 4,6Ghz 8 Core 12 Threads",16,512,6.5,80,90,80,80,83.0
3,Acer Aspire 7 Pro A715-59G-77WV,15499000,"13th Generation Intel Core i7-13620H Up to 4,9Ghz 10 Core 16 Threads",16,512,6.5,100,90,80,80,91.0
4,Acer Aspire Go 14 AI AG14 71M 5471,11999000,"Intel Core Ultra 5 processor 125H with AI Boost (14 Cores (4P+8E+2LP eCores), up to 4.5 GHz)",16,512,7.0,80,90,80,80,83.0
5,Acer Aspire Go 14 AI AG14-71M-7705,13499000,"Intel Core Ultra 7 processor 155H with AI Boost (16 Cores (6P+8E+2LP eCores), up to 4.8 GHz)",16,512,7.0,100,90,80,80,91.0
6,Acer Aspire Go AG14 72P 50C7,10299000,"Intel® Core™ 5 processor 120U (10 Cores, up to 5.0 GHz)",32,512,7.5,60,100,80,80,78.0
7,Acer Aspire GO AG14-72P,10199000,Intel Core 5 120U Up To 5 Ghz 10 Core 12 Threads,8,1000,7.5,80,70,100,80,81.0
8,Acer Aspire Go Spin AGSP14-31PT-386W Touch 2in1 – Pure Silver,9499000,Intel Core 3 N355 ( 3.9 GHz Frekuensi Turbo – 8 Core 8 Threads ),8,512,7.0,60,70,80,80,69.0
9,Acer Aspire Lite 14 AL14 32P,6999000,"Intel N150 Speed (turbo) 3.60 GHz,Cache 6 MB. Core Quad-core (4 Core)",8,256,7.0,60,70,60,80,65.0
10,Acer Aspire Lite 15 AI AL15 61P R3QE,10499000,"AMD Ryzen™ 5 8640HS (6C / 12T, 3.5 / 4.9GHz, 6MB L2 / 16MB L3)",8,512,6.5,60,70,80,80,69.0
11,Acer Aspire Lite 15 AI AL15 61P R572,12499000,"AMD Ryzen 7 8840HS (8 Cores, up to 5.1 GHz)",16,512,6.5,100,90,80,80,91.0
12,Acer Aspire Lite 15 AL15 42P R50P,8999000,"AMD Ryzen™ 5 7430U Processor 2.3GHz (19MB Cache, up to 4.3GHz, 6 cores, 12 Threads)",8,512,9.5,60,70,80,100,71.0
13,Acer Aspire Lite AL14 32P,7499000,"Intel N150 Up To 3,6Ghz 4 Core 4 Threads",8,512,7.5,60,70,80,80,69.0
14,Acer Aspire Lite AL14 37P,8199000,"Intel Core 3 processor N355 Up to 3,9Ghz 8 Core 8 Threads",8,512,7.5,60,70,80,80,69.0
15,Acer Aspire Lite AL14 37P,7299000,"Intel N150 Processor (4 Cores, 3.6 GHz)",8,512,7.0,60,70,80,80,69.0
16,Acer Aspire Lite AL14 53M 36GD,8499000,"Intel Core i3 1315U Processor 6 Cores, 4.5 GHz",8,512,9.5,60,70,80,100,71.0
17,Acer Aspire Lite AL14-37P-32RZ,8199000,"Intel® Core™ 3 N355 Processor (8 Cores, 3.9 GHz)",8,512,7.5,60,70,80,80,69.0
18,Acer Gaming Nitro V 15 ANV15-52-7783,18999000,"13th Gen Intel Core I7 13620H Processor 3.40 GHz [12 MB Cache, Up To 4.60 GHz, Octa Core (4P + 4E) 12 Threads]",16,512,6.5,100,90,80,80,91.0
